no2,elevation,population,landuse,road_density
0.0,0.21819496,0.008240887,0.71590924,0.0
0.0009573102,0.21759152,0.0108179385,0.71590924,0.0
0.0028720498,0.21756935,0.012778421,0.71590924,0.0
0.006267369,0.21721864,0.014112833,0.71590924,0.0
0.011143327,0.21632814,0.016636595,0.71590924,0.0
0.014688075,0.21697044,0.016862348,0.71590924,0.0
0.016901612,0.21749544,0.014567648,0.71590924,0.0
0.01921928,0.21925068,0.011646563,0.71590924,0.0
0.021641016,0.22193694,0.00910381,0.71590924,0.0
0.02241975,0.22297049,0.0065819947,0.6477275,0.0
0.021555305,0.22314,0.0060007526,0.6477275,0.0
0.022028089,0.22341609,0.007150286,0.6477275,0.0
0.023838162,0.22262168,0.007165706,0.6477275,0.0
0.025411189,0.22343135,0.0062737335,0.6477275,0.0
0.026747227,0.22699046,0.0053792475,0.71590924,0.0
0.029085398,0.23170853,0.0035828855,0.71590924,0.0
0.03242576,0.23495913,0.0020465082,0.71590924,0.0
0.035179198,0.23750067,0.0014889012,0.71590924,0.0
0.037345827,0.2385838,0.00138669,0.71590924,0.0
0.039892137,0.23879361,0.0014449963,0.71590924,0.0
0.04281825,0.23829603,0.0016591251,0.71590924,0.0
0.04506582,0.23908472,0.0018693912,0.71590924,0.0
0.04663503,0.23939562,0.0020495807,0.71590924,0.0
0.04838592,0.23757243,0.002385627,0.71590924,0.0
0.0503186,0.23594522,0.0026245448,0.71590924,0.0
0.052469254,0.23584247,0.0031985738,0.71590924,0.0
0.054837883,0.23444128,0.004465802,0.71590924,0.0
0.055933952,0.23423362,0.005489,0.71590924,0.0
0.055757463,0.23666263,0.0054448033,0.71590924,0.0
0.057061434,0.23894644,0.005284288,0.71590924,0.0
0.059845984,0.24008489,0.0051951157,0.71590924,0.0
0.062063396,0.24180198,0.005046212,0.71590924,0.0
0.06371349,0.24278736,0.0061529735,0.71590924,0.0
0.0655877,0.24441862,0.0085184835,0.71590924,0.0
0.06768584,0.24548388,0.010478366,0.71590924,0.0
0.0696035,0.24382257,0.011068622,0.71590924,0.0
0.07134056,0.2410655,0.010312875,0.71590924,0.0
0.07292241,0.23727083,0.008951739,0.71590924,0.0
0.074349046,0.2340982,0.007269758,0.71590924,0.0
0.076321125,0.22986293,0.0055770827,0.71590924,0.0
0.07883865,0.22754693,0.004924836,0.71590924,0.0
0.08065033,0.22593212,0.005528097,0.71590924,0.0
0.081756115,0.22684002,0.0057413895,0.71590924,0.0
0.0815506,0.22523928,0.0053403247,0.71590924,0.0
0.08003378,0.22281647,0.0049597835,0.71590924,0.0
0.079461634,0.22198153,0.004440071,0.71590924,0.0
0.07983416,0.22409272,0.0033539655,0.71590924,0.0
0.08041316,0.22557616,0.002229875,0.71590924,0.0
0.08119857,0.22876596,0.0025654687,0.71590924,0.0
0.08359027,0.23317456,0.0049205106,0.71590924,0.0
0.08758819,0.23738027,0.007674589,0.71590924,0.0
0.09120023,0.24034071,0.009595957,0.71590924,0.0
0.09442657,0.24140501,0.009979033,0.71590924,0.0
0.09821963,0.24069786,0.009256391,0.71590924,0.0
0.102579474,0.23724842,0.007165215,0.71590924,0.0
0.10752463,0.23090291,0.004690438,0.71590924,0.0
0.11305499,0.21768999,0.0031916918,0.71590924,0.0
0.12007469,0.20332694,0.0036346847,0.784091,0.0
0.12858355,0.18754315,0.0047444655,0.784091,0.0
0.13580215,0.17453599,0.0058815656,0.784091,0.0
0.14173031,0.16303706,0.0067732213,0.784091,0.0
0.1462189,0.15712571,0.0071440246,0.784091,0.0
0.14926815,0.1532042,0.007950805,0.71590924,0.0
0.15324295,0.15155315,0.010485762,0.71590924,0.0
0.15814316,0.15227127,0.014457176,0.7386365,0.0
0.16303563,0.15286636,0.019745838,0.76136374,0.0
